method,alpha,beta_text,beta_visual_pos,beta_visual_neg,output_dir,recall@1,precision@1,recall@5,precision@5,recall@10,precision@10
hybrid_text_visual_fusion,1.0,1.0,1.0,0.25,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext1.00_bvpos1.00_bvneg0.25,0.04939024390243903,0.04939024390243903,0.14146341463414633,0.036219512195121956,0.20853658536585365,0.030243902439024393
hybrid_text_visual_fusion,2.0,2.0,0.25,0.5,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext2.00_bvpos0.25_bvneg0.50,0.05548780487804878,0.05548780487804878,0.13658536585365855,0.03695121951219512,0.20853658536585365,0.03128048780487805
hybrid_text_visual_fusion,1.0,0.5,0.25,0.25,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext0.50_bvpos0.25_bvneg0.25,0.051829268292682924,0.051829268292682924,0.1323170731707317,0.036341463414634144,0.2073170731707317,0.031158536585365854
hybrid_text_visual_fusion,2.0,1.0,0.5,0.5,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext1.00_bvpos0.50_bvneg0.50,0.051829268292682924,0.051829268292682924,0.1323170731707317,0.036341463414634144,0.2073170731707317,0.031158536585365854
hybrid_text_visual_fusion,2.0,2.0,0.25,0.25,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext2.00_bvpos0.25_bvneg0.25,0.05426829268292683,0.05426829268292683,0.1329268292682927,0.036585365853658534,0.2073170731707317,0.031158536585365854
hybrid_text_visual_fusion,3.0,0.5,1.0,0.25,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext0.50_bvpos1.00_bvneg0.25,0.04939024390243903,0.04939024390243903,0.13109756097560976,0.03597560975609756,0.20609756097560974,0.03103658536585366
hybrid_text_visual_fusion,1.0,0.5,1.0,0.0,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext0.50_bvpos1.00_bvneg0.00,0.0475609756097561,0.0475609756097561,0.14634146341463414,0.03743902439024391,0.20548780487804877,0.03048780487804878
hybrid_text_visual_fusion,2.0,1.0,0.5,0.25,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext1.00_bvpos0.50_bvneg0.25,0.051829268292682924,0.051829268292682924,0.12926829268292683,0.03597560975609756,0.20548780487804877,0.03128048780487805
hybrid_text_visual_fusion,2.0,2.0,0.25,0.0,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext2.00_bvpos0.25_bvneg0.00,0.05304878048780488,0.05304878048780488,0.13109756097560976,0.03597560975609756,0.2030487804878049,0.030426829268292682
hybrid_text_visual_fusion,3.0,0.5,1.0,0.0,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext0.50_bvpos1.00_bvneg0.00,0.048170731707317074,0.048170731707317074,0.12804878048780488,0.0351219512195122,0.20243902439024392,0.030548780487804877
