method,alpha,beta_text,beta_visual_pos,beta_visual_neg,output_dir,recall@1,precision@1,recall@5,precision@5,recall@10,precision@10
hybrid_text_visual_fusion,2.0,2.0,0.25,0.25,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext2.00_bvpos0.25_bvneg0.25,0.05609756097560976,0.05609756097560976,0.14085365853658535,0.03841463414634146,0.21951219512195122,0.0325609756097561
hybrid_text_visual_fusion,2.0,2.0,0.25,0.5,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext2.00_bvpos0.25_bvneg0.50,0.05731707317073171,0.05731707317073171,0.1420731707317073,0.03817073170731707,0.2176829268292683,0.032439024390243903
hybrid_text_visual_fusion,1.0,2.0,1.0,0.25,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext2.00_bvpos1.00_bvneg0.25,0.04878048780487805,0.04878048780487805,0.14573170731707316,0.036463414634146346,0.21646341463414634,0.03103658536585366
hybrid_text_visual_fusion,1.0,0.5,0.25,0.25,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext0.50_bvpos0.25_bvneg0.25,0.05121951219512195,0.05121951219512195,0.13658536585365855,0.03780487804878049,0.2146341463414634,0.0325
hybrid_text_visual_fusion,2.0,1.0,0.5,0.5,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext1.00_bvpos0.50_bvneg0.50,0.05121951219512195,0.05121951219512195,0.13658536585365855,0.03780487804878049,0.2146341463414634,0.0325
hybrid_text_visual_fusion,3.0,1.0,1.0,0.25,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext1.00_bvpos1.00_bvneg0.25,0.05365853658536585,0.05365853658536585,0.1402439024390244,0.03853658536585366,0.2146341463414634,0.03219512195121951
hybrid_text_visual_fusion,2.0,2.0,0.25,0.0,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext2.00_bvpos0.25_bvneg0.00,0.05548780487804878,0.05548780487804878,0.13475609756097562,0.036585365853658534,0.21158536585365853,0.03152439024390244
hybrid_text_visual_fusion,3.0,0.5,1.0,0.5,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext0.50_bvpos1.00_bvneg0.50,0.05060975609756098,0.05060975609756098,0.13048780487804879,0.03597560975609756,0.21158536585365853,0.03152439024390244
hybrid_text_visual_fusion,1.0,1.0,1.0,0.25,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext1.00_bvpos1.00_bvneg0.25,0.04695121951219512,0.04695121951219512,0.14085365853658535,0.035731707317073175,0.21036585365853658,0.030121951219512194
hybrid_text_visual_fusion,2.0,1.0,0.5,0.25,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext1.00_bvpos0.50_bvneg0.25,0.05121951219512195,0.05121951219512195,0.1353658536585366,0.0376829268292683,0.21036585365853658,0.03219512195121951
hybrid_text_visual_fusion,3.0,1.0,1.0,0.0,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext1.00_bvpos1.00_bvneg0.00,0.0524390243902439,0.0524390243902439,0.13841463414634148,0.03829268292682927,0.21036585365853658,0.03170731707317073
hybrid_text_visual_fusion,1.0,0.5,1.0,0.0,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext0.50_bvpos1.00_bvneg0.00,0.0475609756097561,0.0475609756097561,0.1445121951219512,0.036463414634146346,0.20853658536585365,0.030426829268292682
hybrid_text_visual_fusion,3.0,0.5,1.0,0.25,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext0.50_bvpos1.00_bvneg0.25,0.04878048780487805,0.04878048780487805,0.1323170731707317,0.036585365853658534,0.20792682926829267,0.031158536585365854
hybrid_text_visual_fusion,1.0,0.5,0.25,0.0,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext0.50_bvpos0.25_bvneg0.00,0.04878048780487805,0.04878048780487805,0.1353658536585366,0.037317073170731706,0.2048780487804878,0.031219512195121955
hybrid_text_visual_fusion,2.0,1.0,0.5,0.0,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext1.00_bvpos0.50_bvneg0.00,0.04878048780487805,0.04878048780487805,0.1353658536585366,0.037317073170731706,0.2048780487804878,0.031219512195121955
hybrid_text_visual_fusion,3.0,0.5,1.0,0.0,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext0.50_bvpos1.00_bvneg0.00,0.048170731707317074,0.048170731707317074,0.1274390243902439,0.035243902439024394,0.2048780487804878,0.030670731707317076
hybrid_text_visual_fusion,3.0,2.0,0.5,0.5,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext2.00_bvpos0.50_bvneg0.50,0.05121951219512195,0.05121951219512195,0.12926829268292683,0.03585365853658537,0.20426829268292682,0.031097560975609756
hybrid_text_visual_fusion,1.0,0.5,1.0,0.25,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext0.50_bvpos1.00_bvneg0.25,0.04695121951219512,0.04695121951219512,0.1353658536585366,0.03475609756097561,0.2,0.02926829268292683
hybrid_text_visual_fusion,3.0,2.0,0.5,0.25,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext2.00_bvpos0.50_bvneg0.25,0.04878048780487805,0.04878048780487805,0.12865853658536586,0.03609756097560976,0.2,0.030243902439024393
hybrid_text_visual_fusion,1.0,2.0,1.0,0.5,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext2.00_bvpos1.00_bvneg0.50,0.04085365853658537,0.04085365853658537,0.1353658536585366,0.033658536585365856,0.19939024390243903,0.028658536585365855
hybrid_text_visual_fusion,1.0,0.5,0.25,0.5,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext0.50_bvpos0.25_bvneg0.50,0.04878048780487805,0.04878048780487805,0.12439024390243902,0.03475609756097561,0.19573170731707318,0.029756097560975612
hybrid_text_visual_fusion,1.0,1.0,1.0,0.5,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext1.00_bvpos1.00_bvneg0.50,0.04390243902439024,0.04390243902439024,0.12804878048780488,0.03280487804878049,0.1951219512195122,0.028170731707317074
